UID,Titulo,Dueño,UID del dueño,Etapa de publicación,Público,Estado de aprobación,Origen,Tipo,Categoría,Etiqueta,url,API,Fecha de creación (UTC),Fecha de última actualización de datos (UTC),Dominio,Recurso Derivado,Vistas,Descargas,Número de Filas,Número de Columnas,Correo Electrónico de Contacto,Licencia,Atribución,Enlace de Atribución,Nombre del Recurso Publicado,UID del Recurso Publicado,UID del conjunto de datos superior,Common Core: Publisher,Información de Datos: Fecha Emisión (dd/mm/aaaa),Common Core: Contact Name,Common Core: Language,Common Core: Contact Email,Common Core: License,Common Core: Issued,Información de la Entidad: Sector,Common Core: References,Información de la Entidad: Nombre de la Entidad,Common Core: Public Access Level,Common Core: Bureau Code,Common Core: Described By,Common Core: Update Frequency,Información de Datos: URL Normativa,Información de la Entidad: Departamento,Información de la Entidad: Autor,Información de la Entidad: Orden,Common Core: Program Code,Common Core: Last Update,Common Core: Homepage,Common Core: Unique Identifier,Información de la Entidad: Área o dependecia,Información de Datos: Fecha Emisión (aaaa mm dd),Información de la Entidad: Área o dependencia,Información de la Entidad: Municipio,Common Core: Geographic Coverage,Información de Datos: Frecuencia de Actualización,Información de Datos: Idioma,Common Core: Theme,Información de Datos: Cobertura Geográfica,Información de Datos: URL Documentación
47y5-cq5c,"Matriculados doctorado TIC, proporción",OCyT,mfya-k3m2,published,private,not_ready,official,href,"Ciencia, Tecnología e Innovación",matriculados doctorado tic,https://www.datos.gov.co/d/47y5-cq5c,,07/13/2016 08:09:51 PM,07/13/2016 08:09:51 PM,www.datos.gov.co,false,60,1,,,,Creative Commons Attribution | Share Alike 4.0 International,Ministerio de Tecnologías de la Información y las Comunicaciones,,,,,,2008-03-28 00:00:00.0,,,,,,Tecnologías de la Información y las Comunicaciones,,Ministerio de Tecnologías de La Información y Las Comunicaciones,,,,,,Bogotá D.C.,,Nacional,,,,,,2008-03-28,MINISTERIO DE TECNOLOGÍAS DE LA INFORMACIÓN Y LAS COMUNICACIONES,Bogotá D.C.,,Anual,Español,,Nacional,
62hx-q65y,"Apoyos doctorado TIC, OCDE",OCyT,mfya-k3m2,published,private,not_ready,official,href,"Ciencia, Tecnología e Innovación",apoyos doctorado tic,https://www.datos.gov.co/d/62hx-q65y,,07/14/2016 10:45:53 PM,07/14/2016 10:45:53 PM,www.datos.gov.co,false,22,1,,,,Creative Commons Attribution | Share Alike 4.0 International,Ministerio de Tecnologías de la Información y las Comunicaciones,,,,,,2016-03-31 14:28:15.917,,,,,,Tecnologías de la Información y las Comunicaciones,,Ministerio de Tecnologías de La Información y Las Comunicaciones,,,,,,Bogotá D.C.,,Nacional,,,,,,2016-03-31,MINISTERIO DE TECNOLOGÍAS DE LA INFORMACIÓN Y LAS COMUNICACIONES,Bogotá D.C.,,Anual,Español,,Nacional,
7kcj-awjd,"Monto invertido en TIC, según tamaño",OCyT,mfya-k3m2,published,private,not_ready,official,href,"Ciencia, Tecnología e Innovación",monto invertido en tic c como actividad conducente a la innovación,https://www.datos.gov.co/d/7kcj-awjd,,07/14/2016 10:51:09 PM,07/14/2016 10:51:09 PM,www.datos.gov.co,false,20,1,,,,Creative Commons Attribution | Share Alike 4.0 International,Ministerio de Tecnologías de la Información y las Comunicaciones,,,,,,2016-04-05 10:55:58.023,,,,,,Tecnologías de la Información y las Comunicaciones,,Ministerio de Tecnologías de La Información y Las Comunicaciones,,,,,,Bogotá D.C.,,Nacional,,,,,,2016-04-05,MINISTERIO DE TECNOLOGÍAS DE LA INFORMACIÓN Y LAS COMUNICACIONES,Bogotá D.C.,,Anual,Español,,Nacional,
g35u-kpt6,Comentarios campañas de participación Foro Vivienda,Ministerio de Tecnologías de la Información y las Comunicaciones,m8y6-2tp3,published,private,not_ready,official,dataset,Participación ciudadana,#cambiamosvidas,https://www.datos.gov.co/d/g35u-kpt6,https://www.datos.gov.co/resource/g35u-kpt6.json,02/02/2018 07:08:43 PM,02/02/2018 07:08:45 PM,www.datos.gov.co,false,2,0,178,6,,Creative Commons Attribution | Share Alike 4.0 International,Ministerio de Tecnologías de la Información y las Comunicaciones,,,,,,,,,,,,Tecnologías de la Información y las Comunicaciones,,Ministerio de Tecnologías de La Información y Las Comunicaciones,,,,,,Bogotá D.C.,,Nacional,,,,,,2017 09 29,Urna de Cristal,Bogotá D.C.,,No aplica,Español,,Nacional,
esh5-6m5k,"Matriculados técnicos TIC, registro de calidad",OCyT,mfya-k3m2,published,private,not_ready,official,href,"Ciencia, Tecnología e Innovación",matriculados formación técnica profesional tic,https://www.datos.gov.co/d/esh5-6m5k,,07/14/2016 10:42:38 PM,07/14/2016 10:42:38 PM,www.datos.gov.co,false,10,1,,,,Creative Commons Attribution | Share Alike 4.0 International,Ministerio de Tecnologías de la Información y las Comunicaciones,,,,,,2016-03-30 11:02:07.677,,,,,,Tecnologías de la Información y las Comunicaciones,,Ministerio de Tecnologías de La Información y Las Comunicaciones,,,,,,Bogotá D.C.,,Nacional,,,,,,2016-03-30,MINISTERIO DE TECNOLOGÍAS DE LA INFORMACIÓN Y LAS COMUNICACIONES,Bogotá D.C.,,Anual,Español,,Nacional,
hzbb-2kn5,"Empresas manufactura TIC cooperación CTI, según ac",OCyT,mfya-k3m2,published,private,not_ready,official,href,"Ciencia, Tecnología e Innovación",cooperación para realizar actividades conducentes a la innovación,https://www.datos.gov.co/d/hzbb-2kn5,,07/14/2016 10:52:23 PM,07/14/2016 10:52:23 PM,www.datos.gov.co,false,31,0,,,,Creative Commons Attribution | Share Alike 4.0 International,Ministerio de Tecnologías de la Información y las Comunicaciones,,,,,,2016-04-07,,,,,,Tecnologías de la Información y las Comunicaciones,,Ministerio de Tecnologías de La Información y Las Comunicaciones,,,,,,Bogotá D.C.,,Nacional,,,,,,2016-04-07,MINISTERIO DE TECNOLOGÍAS DE LA INFORMACIÓN Y LAS COMUNICACIONES,Bogotá D.C.,,Anual,Español,,Nacional,
4t9y-22mu,"Matriculados maestría TIC, registro alta calidad",OCyT,mfya-k3m2,published,private,not_ready,official,href,"Ciencia, Tecnología e Innovación",matriculados maestría tic,https://www.datos.gov.co/d/4t9y-22mu,,07/14/2016 10:54:35 PM,07/14/2016 10:54:35 PM,www.datos.gov.co,false,42,0,,,,Creative Commons Attribution | Share Alike 4.0 International,Ministerio de Tecnologías de la Información y las Comunicaciones,,,,,,2016-04-08,,,,,,Tecnologías de la Información y las Comunicaciones,,Ministerio de Tecnologías de La Información y Las Comunicaciones,,,,,,Bogotá D.C.,,Nacional,,,,,,2016-04-08,MINISTERIO DE TECNOLOGÍAS DE LA INFORMACIÓN Y LAS COMUNICACIONES,Bogotá D.C.,,Anual,Español,,Nacional,
v7vc-hh4a,Comentarios campaña de participación normatividad Bolsas Plásticas,Ministerio de Tecnologías de la Información y las Comunicaciones,m8y6-2tp3,published,private,not_ready,official,dataset,Participación ciudadana,"#desembolsate,#conlasbolsasyo",https://www.datos.gov.co/d/v7vc-hh4a,https://www.datos.gov.co/resource/v7vc-hh4a.json,02/02/2018 06:06:16 PM,02/02/2018 06:06:17 PM,www.datos.gov.co,false,2,0,105,6,,Creative Commons Attribution | Share Alike 4.0 International,Ministerio de las Tecnologías de la Información y las Comunicaciones,,,,,,,,,,,,Tecnologías de la Información y las Comunicaciones,,Ministerio de Tecnologías de La Información y Las Comunicaciones,,,,,,Bogotá D.C.,,Nacional,,,,,,2017 06 01,Urna de Cristal ,Bogotá D.C.,,No aplica,Español,,Nacional,
p4e9-98bg:4,Vive Labs,Ministerio TIC Oficina TI Gestión de Informacion,cw5t-ib5h,unpublished,private,not_ready,official,dataset,"Ciencia, Tecnología e Innovación","laboratorios,contenidos,digital,capacitados,vive,labs.",https://www.datos.gov.co/d/p4e9-98bg/revisions/4,,08/10/2021 07:37:24 PM,08/27/2019 08:21:14 PM,www.datos.gov.co,false,,,184,15,scastro@mintic.gov.co,Creative Commons Attribution | Share Alike 4.0 International,Ministerio de Tecnologías de la Información y las Comunicaciones,https://www.datos.gov.co/d/p4e9-98bg,Vive Labs,p4e9-98bg,,,,,,,,,"Ciencia, Tecnología e innovación",,Ministerio de Tecnologías de La Información y Las Comunicaciones,,,,,,Bogotá D.C.,,Nacional,,,,,,2018-04-30,Industrias Creativas,Bogotá D.C.,,Mensual,Español,,Nacional,
bnjr-hsst:0,Portales de Datos Abiertos en Colombia,Ministerio de Tecnologías de la Información y las Comunicaciones,r4qn-dwdd,unpublished,private,not_ready,official,dataset,"Ciencia, Tecnología e Innovación",,https://www.datos.gov.co/d/bnjr-hsst/revisions/0,,01/25/2019 02:13:59 PM,01/25/2019 02:13:59 PM,www.datos.gov.co,false,,,,0,,Creative Commons Attribution | Share Alike 4.0 International,Dirección de Gobierno Digital,,,,,,,,,,,,No Aplica,,Ministerio de Tecnologías de La Información y Las Comunicaciones,,,,,null,Bogotá D.C.,,Nacional,,,,,,2019-01-25,Gobierno Digital - Datos y Soluciones Abiertas,Bogotá D.C.,,No aplica,Español,,Nacional,null
pskw-fuvs,Vista medición habilitadores y propósitos PGD Fusagasugá,oeduarte,gmwx-5xcj,unpublished,private,not_ready,official,chart,"Ciencia, Tecnología e Innovación",,https://www.datos.gov.co/d/pskw-fuvs,https://www.datos.gov.co/resource/pskw-fuvs.json,09/17/2021 09:01:54 PM,05/24/2022 10:03:16 PM,www.datos.gov.co,true,0,0,,,,,,https://www.datos.gov.co/d/rtai-k9uh,Vista medición habilitadores y propósitos PGD Fusagasugá,wjp6-f9sx,kn5u-k9yw,,,,,,,,Tecnologías de la Información y las Comunicaciones,,Ministerio de Tecnologías de La Información y Las Comunicaciones,,,,,https://estrategia.gobiernoenlinea.gov.co/623/w3-propertyvalue-7650.html,Bogotá D.C.,,Nacional,,,,,,2020-09-22,Dirección de Gobierno Digital,Bogotá D.C.,,Anual,Español,,Municipal,https://estrategia.gobiernoenlinea.gov.co/623/w3-propertyvalue-14714.html
pkzu-sphq,Publicaciones_E_Interacciones_Campaña_#UsoLosDatos,urnadecristal,e6y4-a8hd,published,private,not_ready,official,dataset,Participación ciudadana,,https://www.datos.gov.co/d/pkzu-sphq,https://www.datos.gov.co/resource/pkzu-sphq.json,10/07/2019 07:57:06 PM,10/07/2019 07:58:48 PM,www.datos.gov.co,false,30,12,53,8,,Public Domain,,,,,,,,,,,,,Función Pública,,Ministerio de Tecnologías de La Información y Las Comunicaciones,,,,,,Bogotá D.C.,,Nacional,,,,,,2019-10-07,Urna de Cristal,Bogotá D.C.,,No aplica,Español,,Nacional,
dcnz-ej53,Comentarios Campaña #DetectorDeTrámites,urnadecristal,e6y4-a8hd,published,private,not_ready,official,dataset,Participación ciudadana,,https://www.datos.gov.co/d/dcnz-ej53,https://www.datos.gov.co/resource/dcnz-ej53.json,08/21/2019 03:47:45 PM,08/21/2019 03:58:13 PM,www.datos.gov.co,false,28,12,34,6,,Open Data Commons Public Domain Dedication and License,Urna de Cristal,,,,,,,,,,,,No Aplica,,Ministerio de Tecnologías de La Información y Las Comunicaciones,,,,,,Bogotá D.C.,,Nacional,,,,,,2019-08-21,Urna de Cristal,Bogotá D.C.,,No aplica,Español,,Nacional,
kikn-zdvt,Publicaciones_E_Interacciones_Campaña_#LaCadenaDelArroz,urnadecristal,e6y4-a8hd,published,private,not_ready,official,dataset,Participación ciudadana,,https://www.datos.gov.co/d/kikn-zdvt,https://www.datos.gov.co/resource/kikn-zdvt.json,11/20/2019 04:46:42 PM,11/20/2019 04:52:47 PM,www.datos.gov.co,false,23,7,46,8,,Open Data Commons Public Domain Dedication and License,Urna de Cristal,,,,,,,,,,,,Agricultura y Desarrollo Rural,,Ministerio de Tecnologías de La Información y Las Comunicaciones,,,,,,Bogotá D.C.,,Nacional,,,,,,2019-11-20,Urna de Cristal,Bogotá D.C.,,No aplica,Español,,Nacional,
i2gw-gf8p,Comentarios_Campaña_#LaCadenaDelArroz,urnadecristal,e6y4-a8hd,published,private,not_ready,official,dataset,Participación ciudadana,,https://www.datos.gov.co/d/i2gw-gf8p,https://www.datos.gov.co/resource/i2gw-gf8p.json,11/20/2019 04:58:57 PM,11/20/2019 05:02:08 PM,www.datos.gov.co,false,25,12,73,6,,Open Data Commons Public Domain Dedication and License,Urna de Cristal,,,,,,,,,,,,Agricultura y Desarrollo Rural,,Ministerio de Tecnologías de La Información y Las Comunicaciones,,,,,,Bogotá D.C.,,Nacional,,,,,,2019-11-20,Urna de Cristal,Bogotá D.C.,,No aplica,Español,,Nacional,
b2fp-m2jg,prueba geolocalización,Ministerio de Tecnologías de la Información y las Comunicaciones,r4qn-dwdd,published,private,not_ready,official,dataset,"Vivienda, Ciudad y Territorio",geolocalizacion,https://www.datos.gov.co/d/b2fp-m2jg,https://www.datos.gov.co/resource/b2fp-m2jg.json,11/05/2021 02:53:21 PM,11/05/2021 03:06:38 PM,www.datos.gov.co,false,2,0,5,20,datosabiertos@mintic.gov.co,Creative Commons Attribution | Share Alike 4.0 International,Ministerio de Tecnologías de la Información y las Comunicaciones,,,,,,,,,,,,Vivienda Ciudad y Territorio,,Ministerio de Tecnologías de La Información y Las Comunicaciones,,,,,,Bogotá D.C.,,Nacional,,,,,,2021-07-02,Dirección de Gobierno en línea ,Bogotá D.C.,,Anual,Español,,Nacional,
daab-ihsa,Publicaciones e interacciones - Campaña #UrnaTeEscucha,urnadecristal,e6y4-a8hd,published,private,not_ready,official,dataset,Participación ciudadana,,https://www.datos.gov.co/d/daab-ihsa,https://www.datos.gov.co/resource/daab-ihsa.json,06/28/2019 07:48:19 PM,06/28/2019 07:51:50 PM,www.datos.gov.co,false,51,18,53,10,,Open Data Commons Public Domain Dedication and License,,,,,,,,,,,,,Tecnologías de la Información y las Comunicaciones,,Ministerio de Tecnologías de La Información y Las Comunicaciones,,,,,,Bogotá D.C.,,Nacional,,,,,,2019-06-28,Urna de Cristal,Bogotá D.C.,,No aplica,Español,,Nacional,
2xjh-t22j:5,Prueba activos de información,andresval,865h-e5xe,unpublished,private,not_ready,official,dataset,Estadísticas Nacionales,,https://www.datos.gov.co/d/2xjh-t22j/revisions/5,,12/05/2022 03:29:45 AM,12/05/2022 04:26:00 AM,www.datos.gov.co,false,,,40752,35,,Creative Commons Attribution 4.0 International,Mintic,,Prueba activos de información,2xjh-t22j,,,,,,,,,Tecnologías de la Información y las Comunicaciones,,Ministerio de Tecnologías de La Información y Las Comunicaciones,,,,,,Bogotá D.C.,,Nacional,,,,,,2022-09-07,Dirección Gobierno digital,Bogotá D.C.,,Semestral,Español,,Nacional,
5abm-uvtc,Campaña #HoyYMañanaBEPS,urnadecristal,e6y4-a8hd,published,private,not_ready,official,dataset,Participación ciudadana,,https://www.datos.gov.co/d/5abm-uvtc,https://www.datos.gov.co/resource/5abm-uvtc.json,07/18/2019 09:38:16 PM,07/18/2019 09:45:09 PM,www.datos.gov.co,false,61,14,23,9,,Open Data Commons Public Domain Dedication and License,,,,,,,,,,,,,Tecnologías de la Información y las Comunicaciones,,Ministerio de Tecnologías de La Información y Las Comunicaciones,,,,,,Bogotá D.C.,,Nacional,,,,,,2019-07-18,Urna de Cristal,Bogotá D.C.,,No aplica,Español,,Nacional,
82nr-suh3,Teletrabajo FP,Ministerio TIC Oficina TI Gestión de Informacion,cw5t-ib5h,published,private,not_ready,official,dataset,,,https://www.datos.gov.co/d/82nr-suh3,https://www.datos.gov.co/resource/82nr-suh3.json,07/15/2019 09:15:05 PM,08/27/2019 08:05:28 PM,www.datos.gov.co,false,134,33,517,12,,,,,,,,,,,,,,,"Ciencia, Tecnología e innovación",,Ministerio de Tecnologías de La Información y Las Comunicaciones,,,,,,Bogotá D.C.,,Nacional,,,,,,2019-07-10,Dirección de Infraestructura,Bogotá D.C.,,Mensual,Español,,Nacional,
u26u-n8kb,Vive Labs Contenidos.,Ministerio TIC Oficina TI Gestión de Informacion,cw5t-ib5h,published,private,not_ready,official,dataset,"Ciencia, Tecnología e Innovación","laboratorios,contenidos,digital,capacitados,vive,labs",https://www.datos.gov.co/d/u26u-n8kb,https://www.datos.gov.co/resource/u26u-n8kb.json,07/15/2019 04:06:28 PM,07/15/2019 04:09:48 PM,www.datos.gov.co,false,103,24,184,15,scastro@mintic.gov.co,Creative Commons Attribution | Share Alike 4.0 International,Ministerio de Tecnologías de la Información y las Comunicaciones,,,,,,,,,,,,"Ciencia, Tecnología e innovación",,Ministerio de Tecnologías de La Información y Las Comunicaciones,,,,,,Bogotá D.C.,,Nacional,,,,,,2019-07-10,Industrias Creativas,Bogotá D.C.,,Mensual,Español,,Nacional,
g99m-jkye,Evaluación de trámites en www.gov.co,acaceres,7iyx-eynd,published,public,approved,official,dataset,"Ciencia, Tecnología e Innovación","trámites y servicios en www.gov.co,comentarios trámites,participaciones,likes y dislikes,experiencia de usuario www.gov.co,evaluación de trámites",https://www.datos.gov.co/d/g99m-jkye,https://www.datos.gov.co/resource/g99m-jkye.json,10/15/2021 05:09:47 PM,10/15/2021 08:21:02 PM,www.datos.gov.co,false,173,37,22519,8,acaceres@mintic.gov.co,Creative Commons Attribution | Share Alike 4.0 International,Ministerio de Tecnologías de la Información y las Comunicaciones,https://www.datos.gov.co/d/g99m-jkye,,,,,,,,,,,Tecnologías de la Información y las Comunicaciones,,Ministerio de Tecnologías de La Información y Las Comunicaciones,,,,,,Bogotá D.C.,,Nacional,,,,,,2021-10-15,Dirección de Gobierno Digital,Bogotá D.C.,,Mensual,Español,,Nacional,
bgbz-g48t,Días Convocatoria,tolima,idvw-ryup,unpublished,private,not_ready,official,chart,,,https://www.datos.gov.co/d/bgbz-g48t,https://www.datos.gov.co/resource/bgbz-g48t.json,09/09/2020 10:15:29 AM,11/04/2020 03:47:18 PM,www.datos.gov.co,true,4,0,,,,Creative Commons Attribution 4.0 International,Portales web del Ministerio,http://mintic.gov.co,,,izn8-9vdv,,,,,,,,Tecnologías de la Información y las Comunicaciones,,Ministerio de Tecnologías de La Información y Las Comunicaciones,,,,,,Bogotá D.C.,,Nacional,,,,,,2020-08-22,Fomento Regional,Bogotá D.C.,,Quincenal,Español,,Nacional,
